id,newspaper_id,content,label,isTrain,RandomForest_tfidf_label,RandomForest_word2vec_label,LogisticRegression_tfidf_label,LogisticRegression_word2vec_label,Gaussian_tfidf_label,Gaussian_word2vec_label,average_label
3,1,"Vụ_án đặc_biệt nghiêm_trọng này đã gây xôn_xao dư_luận trong những ngày_qua và Cơ_quan công_an cũng đã dần hé lộ thêm nhiều manh_mối quan_trọng trong quá_trình phá_án và lấy lời_khai của cặp_vợ_chồng nghi_phạm
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
4,1,"Điều khiến dư_luận bất_bình hơn khi nạn nhân_Văn_Thị_Thanh_Nga ( 56 tuổi , trú P An_Hải Tây , Q Sơn_Trà ) lại chính là ân_nhân của vợ_chồng hung_thủ
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
15,1,"Bởi trước_đó , Oanh có vay_tiền của xã_hội đen với lãi_suất rất cao và không có khả_năng chi_trả nên hay bị các đối_tượng giang_hồ đe_dọa
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
17,1,"Tuy_nhiên , đôi vợ_chồng Dũng Oanh đã táng tận lương_tâm khi ra_tay sát_hại chính người đã giúp_đỡ mình trong_lúc khó_khăn để khỏi phải trả_nợ
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
20,1,"Do vì nợ_nần không lối_thoát nên tôi mới hành_động sai_lầm như_vậy , giờ đời tôi coi như đã hết
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
29,1,"Bằng các biện_pháp nghiệp_vụ , đến chiều_tối 21/6 , Công_an đã tạm_giữ hình_sự Nguyễn_Hùng_Dũng ( 50 tuổi ) và vợ là Lê_Thị_Phương_Oanh ( 49 tuổi , cùng trú chung_cư C2 , đường Dương_Vân Nga , P Nại Hiên Đông , Q Sơn_Trà ) để điều_tra về hành_vi giết_người
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
33,1,"Do_vậy , Oanh đã bàn với chồng giết bà Nga để cướp tài_sản để xù_nợ
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
44,2,"Theo luật_sư , đối_tượng Tài mụn , Phú sẽ đối_diện với mức cao nhất của khung hình_phạt là tử_hình
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
45,2,"Ngày 175 , cơ_quan CSĐT Công_an TP.HCM cho_biết , đã tống_đạt các quyết_định khởi_tố vụ_án , khởi_tố bị_can , thi_hành lệnh_bắt tạm_giam Nguyễn_Tấn_Tài ( Tài mụn , SN 1994 , ngụ quận 12 ) , Nguyễn_Hoàng_Châu_Phú ( SN 1994 , ngụ huyện Hóc_Môn ) can_tội Trộm_cắp tài_sản và
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
47,2,"Còn Ngô_Văn_Hùng ( SN 1986 , ngụ đường Phạm_Văn_Chiêu , quận Gò_Vấp ) bị khởi_tố về hành_vi Che_giấu tội_phạm
",1,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
