id,title,content,label,sentences,key_sentence
1,"Vụ_giết_người_rồi_trói_xác_vứt_xuống_sông_ở_Đà_Nẵng_Nạn_nhân_rất_tốt_bụng,_là_ân_nhân_của_vợ_chồng_hung_thủ",'',5,17,7
2,Nhóm_trộm_cướp_đâm_2_hiệp_sĩ_tử_vong_ở_Sài_Gòn_sẽ_đối_diện_hình_phạt_nào,'',5,12,7
3,"Rúng_động_Bé_gái_4_tháng_tuổi_qua_đời_vì_bị_cha_đẻ_bỏ_bê_không_chăm_sóc,_bỉm_có_giòi",'',3,10,7
4,Thảm_án_ở_Cao_Bằng_Người_cha_đau_xót_khi_vào_hiện_trường_nhìn_mặt_hai_con,'',5,24,7
5,Đã_bắt_được_nghi_phạm_sát_hại_người_lái_xe_ôm_ở_Sơn_La,'',5,9,7
6,Vụ_cô_gái_bất_ngờ_bị_đâm_gục_trên_phố_Nghi_phạm_là_kẻ_cuồng_ghen,'',5,7,7
7,Vụ_5_người_bị_sát_hại_dã_man_vào_dịp_Tết_nguyên_đán_Nghi_phạm_khai_gì,'',5,12,7
8,"Vụ_xử_tử_kỳ_quặc_nhất_nước_Mỹ_Tử_tù_đòi_ngồi_ghế_điện_cho_ngầu,_bữa_ăn_cuối_là_cái_đuôi_lợn_và_lời_nói_cuối_là_quẩy_lên_đê",'',5,17,7
9,Điều_tra_nghi_án_người_đàn_ông_tâm_thần_giết_người_phụ_nữ_rồi_bỏ_trong_lu_đựng_cám,'',4,5,7
10,"Vụ_vợ_giết_chồng_ở_Bình_Dương_Tiếp_tục_tìm_thấy_một_phần_thi_thể_cách_hiện_trường_2,5km",'',5,7,7
11,"Bé_trai_tự_kỷ_chết_đột_ngột,_lịch_sử_tìm_kiếm_ghê_rợn_trên_máy_tính_khiến_cảnh_sát_lập_tức_bắt_giữ_người_mẹ",'',2,8,7
12,Lời_khai_bất_ngờ_của_người_vợ_hờ_dùng_thuốc_chuột_đầu_độc_cả_gia_đình_nhà_chồng,'',3,16,7
13,Gay_cấn_8h_truy_bắt_sát_thủ_áo_đen_trong_vụ_giết_người_tại_Bắc_Ninh,'',5,13,1
14,Bác_sỹ_sát_hại_vợ_phi_tang_xác_xuống_sông_ở_Cao_Bằng_đối_diện_mức_án_nào,'',5,11,3
15,Chân_dung_nghi_phạm_sát_hại_cả_nhà_5_người_ngày_giáp_Tết,'',5,13,7
16,Vụ_thi_thể_nữ_sinh_trong_thùng_xốp_Chân_dung_nghi_phạm,'',4,16,7
17,Lời_khai_của_kẻ_dìm_chết_người_tình_rồi_giấu_xác_trong_nhà,'',5,9,7
18,9X_sát_hại_cậu_ruột_chỉ_vì_mâu_thuẫn_nhỏ,'',5,6,4
19,"Vụ_cưỡng_hiếp,_sát_hại_cô_gái_Thiếu_niên_13_tuổi_đối_mặt_hình_phạt_nào",'',5,11,4
21,Khởi_tố_kẻ_ngáo_đá_sát_hại_người_tình_vì_tưởng_là_con_rắn,'',5,4,5
22,Thảm_án_Bình_Phước_Nguyễn_Hải_Dương_muốn_hiến_xác_cho_y_học,'',1,10,7
23,"Lời_khai_lạnh_gáy_của_cô_gái_bị_cha_ruột_giam_cầm_suốt_24_năm,_hãm_hiếp_3000_lần",'',2,12,2
24,"Cuồng_ghen,_gã_đàn_ông_sát_hại_người_tình",'',5,6,2
25,Trung_Quốc_Cô_gái_trẻ_ôm_chó_gào_khóc_thảm_thiết_vì_vừa_đưa_từ_Mỹ_về_đã_bị_hàng_xóm_đánh_bả_chết,'',1,26,13
26,"Nữ_sinh_ném_con_ở_chung_cư_Linh_Đàm_yêu_3_năm_3_lần_mang_thai_Bi_kịch_từ_mối_tình_yêu_nhào,_sống_thả",'',5,22,3
27,Sát_hại_vợ_rồi_cải_trang_thành_kẻ_ăn_xin_để_trốn,'',5,9,8
28,"Nghĩ_mình_bị_phụ_tình,_đổ_xăng_đốt_người_yêu",'',5,11,12
29,Dựng_màn_kịch_cướp_tài_sản_để_giết_vợ,'',4,20,15
