id,newspaper_id,content,label,RandomForest_tfidf_label,RandomForest_word2vec_label,LogisticRegression_tfidf_label,LogisticRegression_word2vec_label,Gaussian_tfidf_label,Gaussian_word2vec_label,isTrain,average_label
1,1,"Vợ giám_đốc bị sát_hại rồi trói xác vứt xuống sông Hàn_để phi_tang được đánh_giá là người tốt_bụng và thường cho phụ_nữ nghèo vay_tiền làm_ăn mà_không đòi_hỏi lãi , đặc_biệt còn là ân_nhân của vợ_chồng hung_thủ
",2,1,NULL,NULL,NULL,NULL,NULL,1,NULL
2,1,"Liên_quan vụ_án giết_người , trói xác ném xuống sông Hàn , ngày 256 , Cơ_quan CSĐT Công_an TP Đà_Nẵng cho_biết , đang hoàn_tất hồ_sơ khởi_tố bị_can đối_với vợ_chồng Nguyễn_Hữu_Dũng ( SN 1969 ) và Lê_Thị_Phương_Oanh ( SN 1968 , cùng trú chung_cư C2 , đường Dương_Văn_Nga , quận Sơn_Trà ) về hành_vi giết_người , cướp tài_sản
",2,1,NULL,NULL,NULL,NULL,NULL,1,NULL
3,1,"Vụ_án đặc_biệt nghiêm_trọng này đã gây xôn_xao dư_luận trong những ngày_qua và Cơ_quan công_an cũng đã dần hé lộ thêm nhiều manh_mối quan_trọng trong quá_trình phá_án và lấy lời_khai của cặp_vợ_chồng nghi_phạm
",1,1,NULL,NULL,NULL,NULL,NULL,1,NULL
4,1,"Điều khiến dư_luận bất_bình hơn khi nạn nhân_Văn_Thị_Thanh_Nga ( 56 tuổi , trú P An_Hải Tây , Q Sơn_Trà ) lại chính là ân_nhân của vợ_chồng hung_thủ
",1,1,NULL,NULL,NULL,NULL,NULL,1,NULL
9,1,"Theo những người hàng_xóm của nạn_nhân , bà Nga là một người tốt_bụng , nạn_nhân sống cùng chồng và con
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
10,1,"Chồng bà Nga làm giám_đốc tại một công_ty nước_ngoài
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
11,1,"Bà Nga sống hiền_lành , chưa_bao_giờ xích_mích với ai
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
12,1,"Đặc_biệt , nạn_nhân thường cho những phụ_nữ nghèo vay vốn để làm_ăn mà_không đòi_hỏi tiền lãi
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
13,1,"Đối_với nhiều trường_hợp , bà Nga thường chỉ lấy tiền_gốc và nếu ai làm_ăn có lời thì người vay có_thể tuỳ_tâm trả_lãi chứ bà không đòi_hỏi
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
14,1,"Bà Nga cũng chính là ân_nhân của vợ_chồng Dũng và Oanh
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
15,1,"Bởi trước_đó , Oanh có vay_tiền của xã_hội đen với lãi_suất rất cao và không có khả_năng chi_trả nên hay bị các đối_tượng giang_hồ đe_dọa
",1,1,NULL,NULL,NULL,NULL,NULL,1,NULL
16,1,"Trong tình_cảnh đó , bà Nga đã rộng_lòng cho Oanh vay_tiền với lãi_suất rất thấp để trả_nợ và có vốn làm_ăn
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
17,1,"Tuy_nhiên , đôi vợ_chồng Dũng Oanh đã táng tận lương_tâm khi ra_tay sát_hại chính người đã giúp_đỡ mình trong_lúc khó_khăn để khỏi phải trả_nợ
",1,1,NULL,NULL,NULL,NULL,NULL,1,NULL
18,1,"Tại Cơ_quan điều_tra , chính đối_tượng Dũng cũng thừa_nhận Chị Nga là một người_sống rất tình_cảm , đạo_đức
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
19,1,"Tuy cho_vay nhưng chị_ấy lấy_lãi rất nhẹ chứ không như người_khác
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
20,1,"Do vì nợ_nần không lối_thoát nên tôi mới hành_động sai_lầm như_vậy , giờ đời tôi coi như đã hết
",1,1,NULL,NULL,NULL,NULL,NULL,1,NULL
25,1,"Như đã đưa_tin , sáng 21/6 , khi thi_thể bà Văn_Thị_Thanh_Nga ( 56 tuổi , trú P An_Hải Tây , Q Sơn_Trà ) được người_dân phát_hiện nổi trên Vịnh Mân Quang ( Q Sơn_Trà ) trong tình_trạng tay_chân bị trói bằng dây_thép và đầu bọc bằng bao ni_lông màu_đen
",2,1,NULL,NULL,NULL,NULL,NULL,1,NULL
29,1,"Bằng các biện_pháp nghiệp_vụ , đến chiều_tối 21/6 , Công_an đã tạm_giữ hình_sự Nguyễn_Hùng_Dũng ( 50 tuổi ) và vợ là Lê_Thị_Phương_Oanh ( 49 tuổi , cùng trú chung_cư C2 , đường Dương_Vân Nga , P Nại Hiên Đông , Q Sơn_Trà ) để điều_tra về hành_vi giết_người
",1,1,NULL,NULL,NULL,NULL,NULL,1,NULL
32,1,"Tại cơ_quan CSĐT , Lê_Thị_Phương_Oanh khai_nhận có mượn của bà Nga số_tiền 200 triệu đồng nhưng không có khả_năng chi_trả
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
33,1,"Do_vậy , Oanh đã bàn với chồng giết bà Nga để cướp tài_sản để xù_nợ
",1,1,NULL,NULL,NULL,NULL,NULL,1,NULL
34,1,"Để thực_hiện hành_vi này , vợ_chồng Oanh thống_nhất điện_thoại bà Nga đến căn_hộ mình đang sinh_sống để trả_tiền
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
35,1,"Ngoài_ra , Oanh còn nhờ bà Nga đi chợ mua giúp mình thêm ít thức_ăn và con gà để đến đãi_khách
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
36,1,"Khoảng 7h30 cùng ngày , bà Nga điều_khiển xe_máy BKS 43C1313 56 mang thức_ăn đến chung_cư nơi vợ_chồng Oanh – Dũng đang ở
",0,1,NULL,NULL,NULL,NULL,NULL,1,NULL
