id,newspaper_id,content,label,isTrain,RandomForest_tfidf_label,RandomForest_word2vec_label,LogisticRegression_tfidf_label,LogisticRegression_word2vec_label,Gaussian_tfidf_label,Gaussian_word2vec_label,average_label
1,1,"Vợ giám_đốc bị sát_hại rồi trói xác vứt xuống sông Hàn_để phi_tang được đánh_giá là người tốt_bụng và thường cho phụ_nữ nghèo vay_tiền làm_ăn mà_không đòi_hỏi lãi , đặc_biệt còn là ân_nhân của vợ_chồng hung_thủ
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2,1,"Liên_quan vụ_án giết_người , trói xác ném xuống sông Hàn , ngày 256 , Cơ_quan CSĐT Công_an TP Đà_Nẵng cho_biết , đang hoàn_tất hồ_sơ khởi_tố bị_can đối_với vợ_chồng Nguyễn_Hữu_Dũng ( SN 1969 ) và Lê_Thị_Phương_Oanh ( SN 1968 , cùng trú chung_cư C2 , đường Dương_Văn_Nga , quận Sơn_Trà ) về hành_vi giết_người , cướp tài_sản
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
25,1,"Như đã đưa_tin , sáng 21/6 , khi thi_thể bà Văn_Thị_Thanh_Nga ( 56 tuổi , trú P An_Hải Tây , Q Sơn_Trà ) được người_dân phát_hiện nổi trên Vịnh Mân Quang ( Q Sơn_Trà ) trong tình_trạng tay_chân bị trói bằng dây_thép và đầu bọc bằng bao ni_lông màu_đen
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
39,1,"Trong_lúc bà Nga ngồi trên giường nói_chuyện với Oanh thì bất_ngờ từ phía_sau , Dũng sử_dụng một sợi_dây dù lồng qua cổ xiết mạnh , đè đầu nạn_nhân xuống nền_nhà
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
40,1,"Lúc_này Oanh đè chặt 2 chân của bà Nga để nạn_nhân không_thể kêu_la , chống_cự
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
41,1,"Sau_khi sát_hại nạn_nhân , Dũng và Oanh dùng dây_thép cột tay_chân nạn_nhân lại cho gọn và bỏ vào thùng_xốp
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
42,1,"Khoảng 1 giờ sáng 21/6 , lợi_dụng vắng_người , Dũng dùng xe_máy chở xác đến cầu Mân_Quang và đẩy xuống sông Hàn_để phi_tang
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
48,2,"Cơ_quan công_an cũng đang xem_xét để làm rõ vai_trò và xử_lý một_số đối_tượng khác có liên_quan đến vụ_án đâm 2 hiệp_sĩ tử_vong , 3 bị_thương nặng trên đường CMT8 , quận 3 vào tối 135
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
72,3,"Kết_quả khám_nghiệm tử_thi cho thấy đứa trẻ đã chết vì bị suy dinh_dưỡng , mất_nước và nhiễm_trùng
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
73,3,"Nguyên_nhân cụ_thể là do Zachary Paul Koehn đã cho con_trai mặc một chiếc bỉm quá lâu mà không hề thay mới
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
74,3,"Chất_thải mà đứa trẻ thải_ra đã có_giòi bọ sinh_sôi , phát_triển
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
75,3,"Bên_cạnh_đó , các chất_thải trong bỉm ngấm qua da , khiến vi_khuẩn E.coli sống trong bỉm và chất_thải xâm_nhập vào đường_máu , gây nhiễm_khuẩn nặng
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
77,3,"Quần_áo và chăn nệm xung_quanh em_bé cũng bẩn_thỉu và dường_như đã không được thay mới , giặt giữ trong_suốt nhiều ngày
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
78,3,"Khi qua_đời , em_bé mặc_dù đã 4 tháng tuổi nhưng chỉ nặng có 3,2 kg , cân_nặng thậm_chí còn ít_hơn nhiều đứa trẻ sơ_sinh
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
89,4,"Khi về tới hiện_trường , anh Long hoảng_hốt khi nhận_được tin 4 người trong nhà bị Khánh_chém tử_vong
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
91,4,"Theo thông_tin từ VTC News , khi phóng_viên tìm đến hiện_trường , chị Triệu_Thị_Coi ( SN 1992 ) là người chạy thoát_khỏi sự_truy_đuổi của kẻ_giết_người chia_sẻ Thời_điểm vụ_việc xảy_ra vào khoảng 2h sáng_ngày 75 , tôi cùng 2 con_nhỏ và bà_ngoại đang ngủ trong nhà thì nghe_thấy tiếng chị dâu từ bên nhà chạy sang hét lớn với giọng hoảng_sợ , bảo tôi gọi_điện báo công_an là thằng Khánh giết_người
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
93,4,"Chị Phương_chạy vào nhà còn chưa kịp đóng_cửa thì bị Khánh đuổi_kịp chém_chết tại_chỗ , rồi Khánh lao_vào nhà đòi giết_người
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
96,4,"Trong lúc chạy_trốn , tôi nghe_rõ tiếng bà_ngoại van_xin và tiếng con tôi khóc lớn trong_đêm
",2,1,NULL,NULL,NULL,NULL,NULL,NULL,NULL
